City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Faanui,25,PF,1569278957,79,-16.48,-151.75,80.33,14.03
Nerchinskiy Zavod,34,RU,1569278958,54,51.31,119.61,45.77,0.56
Amarante,90,PT,1569278959,93,41.27,-8.08,66.99,12.75
Turayf,0,SA,1569278960,35,31.68,38.65,69.8,9.17
Yulara,90,AU,1569278962,76,-25.24,130.99,53.6,10.29
Horasan,0,TR,1569278963,44,40.04,42.16,45.05,0.4
Paamiut,100,GL,1569278964,70,61.99,-49.67,41.45,11.41
Guerrero Negro,0,MX,1569278965,73,27.97,-114.04,73.49,12.17
Havelock,1,US,1569278701,61,34.88,-76.9,79.0,9.17
Ponta do Sol,36,BR,1569278967,63,-20.63,-46.0,66.29,14.12
Great Yarmouth,75,GB,1569278969,93,52.61,1.73,61.0,11.41
Sterling,75,US,1569278938,54,39.0,-77.4,88.0,6.89
Pangnirtung,40,CA,1569278720,80,66.15,-65.72,39.2,13.87
Dickinson,1,US,1569278972,27,46.88,-102.79,78.8,17.22
Kampong Cham,65,KH,1569278973,82,11.99,105.46,75.47,8.32
San Patricio,0,PY,1569278974,69,-26.98,-56.83,64.13,6.76
Santa Isabel,20,MX,1569278976,5,32.63,-115.58,102.2,19.46
Salalah,75,OM,1569278977,78,17.01,54.1,80.6,5.82
Caiaponia,84,BR,1569278978,26,-16.96,-51.81,84.83,3.8
Murwillumbah,75,AU,1569278979,52,-28.33,153.4,73.99,16.11
Cine,0,TR,1569278980,77,37.61,28.06,59.0,2.24
Bronnoysund,87,NO,1569278982,93,65.46,12.2,43.0,4.7
Herat,0,AF,1569278983,57,34.35,62.22,58.37,4.99
Maralal,27,KE,1569278984,73,1.1,36.7,63.23,9.44
Traiguen,0,CL,1569278985,84,-38.25,-72.68,46.49,5.3
Goksun,0,TR,1569278986,42,38.02,36.5,64.4,5.82
Marzuq,18,YE,1569278988,33,14.4,46.47,72.41,2.39
Palasbari,75,IN,1569278989,100,26.14,91.55,77.0,1.12
Pervomayskoye,46,RU,1569278990,86,57.07,86.23,42.53,15.93
Makinsk,51,KZ,1569278991,78,52.63,70.42,38.57,20.58
Baruun-Urt,0,MN,1569278992,47,46.68,113.28,55.67,7.45
Santiago del Estero,0,AR,1569278993,35,-27.8,-64.26,68.81,9.46
Kiruna,20,SE,1569278995,92,67.86,20.23,26.6,2.24
Sangar,12,RU,1569278996,81,63.92,127.47,38.21,10.25
Chase,1,US,1569278997,25,38.35,-98.35,87.8,14.99
Leningradskiy,100,RU,1569278998,81,69.38,178.42,38.39,10.0
Leeton,0,AU,1569278999,57,-34.55,146.4,50.0,5.82
Nantucket,1,US,1569278915,88,41.28,-70.1,71.01,13.87
Port Hawkesbury,75,CA,1569278826,78,45.62,-61.36,73.99,11.41
Barmer,0,IN,1569279003,61,25.74,71.4,83.21,2.21
Chimore,1,BO,1569279004,50,-16.98,-65.13,76.37,4.65
Teya,75,MX,1569279005,66,21.05,-89.07,87.8,9.17
Fukue,20,JP,1569279006,73,35.03,136.69,73.4,14.99
Upernavik,100,GL,1569279007,93,72.79,-56.15,37.13,6.4
Sayyan,0,YE,1569279009,52,15.17,44.32,71.51,1.1
Porto Walter,56,BR,1569279010,89,-8.27,-72.74,73.85,3.4
Hamilton,20,CA,1569278800,64,43.26,-79.87,72.0,18.34
Naze,75,NG,1569279012,83,5.43,7.07,80.6,3.36
Avera,1,US,1569279014,31,33.19,-82.53,91.4,0.51
Izhma,99,RU,1569278992,89,65.01,53.91,34.25,7.25
Bafra,0,TR,1569279016,93,41.57,35.91,50.0,2.24
Hornepayne,43,CA,1569279017,71,49.22,-84.78,51.53,1.28
Hochstadt,0,DE,1569279018,93,50.15,8.83,57.0,3.36
Corsicana,1,US,1569279020,44,32.09,-96.46,95.0,8.05
Amapa,75,HN,1569279021,52,15.09,-87.97,93.2,18.34
Yarensk,89,RU,1569279022,96,62.17,49.09,31.19,4.9
Kijang,40,KR,1569279023,93,35.24,129.21,59.0,6.93
Yelizovo,23,RU,1569279024,81,53.19,158.38,42.8,6.71
Silver City,90,US,1569279025,36,32.77,-108.28,82.0,8.05
Portland,75,US,1569278854,65,43.66,-70.25,78.8,3.36
The Pas,90,CA,1569279028,49,53.82,-101.24,69.8,19.46
Cervo,59,BR,1569279029,76,-22.19,-46.24,58.91,4.79
Igarka,92,RU,1569279030,81,67.47,86.57,36.23,26.6
Bardsir,0,IR,1569279031,10,29.93,56.57,66.2,4.7
Thoen,93,TH,1569279032,94,17.61,99.22,69.53,2.1
Laurentides,59,CA,1569279034,96,46.43,-74.98,57.83,4.36
Ambon,90,FR,1569279035,100,47.55,-2.56,63.0,12.75
Kloulklubed,75,PW,1569279036,78,7.04,134.26,82.4,5.82
Severo-Kurilsk,100,RU,1569279037,85,50.68,156.12,50.09,18.66
Fort Nelson,40,CA,1569279038,25,58.81,-122.69,60.8,4.7
Matagami,100,NG,1569279040,95,9.67,8.4,70.07,1.83
Erenhot,0,CN,1569279041,22,43.65,111.97,64.85,6.82
Hwange,6,ZW,1569279042,15,-18.35,26.5,71.51,10.0
Quesnel,90,CA,1569278876,87,52.98,-122.49,53.6,11.41
Khandbari,99,NP,1569279044,94,27.38,87.21,53.51,1.59
Aitape,87,PG,1569279045,84,-3.15,142.36,79.97,1.61
Port Macquarie,45,AU,1569279047,47,-31.43,152.91,66.0,8.05
Kipini,20,KE,1569279048,83,-2.53,40.53,77.0,15.77
Tomatlan,26,MX,1569279049,81,19.93,-105.25,82.49,15.86
Quatre Cocos,75,MU,1569279050,83,-20.21,57.76,70.0,19.46
Novoselytsya,0,UA,1569279051,76,48.22,26.27,54.0,10.29
Tigzirt,96,DZ,1569279052,67,36.57,4.2,66.65,2.01
Souillac,0,FR,1569279054,82,45.6,-0.6,64.99,5.82
Umm Lajj,0,SA,1569279055,71,25.02,37.27,85.55,13.62
Floro,0,NO,1569279056,93,61.6,5.03,51.01,3.36
Solnechnyy,81,RU,1569279057,65,50.72,136.64,46.49,10.09
Staszow,20,PL,1569279058,87,50.56,21.17,51.01,7.0
Penon Blanco,12,MX,1569279059,46,24.79,-104.04,79.25,9.91
Martigny,0,CH,1569279061,71,46.1,7.07,55.99,5.82
Yerbogachen,44,RU,1569279062,76,61.28,108.01,39.29,12.17
Alberton,0,ZA,1569279064,36,-26.25,28.13,60.8,4.7
Bowen,100,AU,1569279065,78,-20.01,148.25,71.6,5.82
Sinnamary,68,GF,1569279066,83,5.38,-52.96,81.41,12.55
San Alejo,20,SV,1569279067,59,13.43,-87.96,91.4,3.83
Lourdes,20,SV,1569279069,83,13.73,-89.37,84.2,8.05
Padang,67,ID,1569279070,86,-0.92,100.36,78.35,11.45
Santa Quiteria,68,ES,1569279071,93,37.67,-1.69,73.0,1.66
Bara,36,NG,1569279072,87,10.41,10.6,76.01,5.79
Bandarbeyla,42,SO,1569279073,69,9.49,50.81,75.83,20.94
Carnarvon,17,ZA,1569279074,41,-30.97,22.13,46.85,14.14
Santa Cruz,26,BR,1569279076,80,-6.22,-36.02,71.51,19.73
Smirnykh,97,RU,1569279077,94,49.74,142.83,43.97,7.34
Aquiraz,75,BR,1569279078,74,-3.9,-38.39,80.6,10.29
Tual,99,ID,1569279006,86,-5.67,132.75,78.89,14.7
El Sauzal,0,AR,1569279080,31,-24.3,-64.96,75.2,5.82
Valparaiso,40,US,1569278807,49,41.47,-87.06,75.0,5.82
Nabire,69,ID,1569279082,67,-3.36,135.5,81.59,1.68
Saint-Francois,20,FR,1569279084,87,46.42,3.91,53.6,3.36
Prabumulih,26,ID,1569279085,87,-3.5,104.19,75.65,3.24
Bhainsa,1,IN,1569279086,92,26.95,76.9,73.31,4.7
Maniitsoq,100,GL,1569279087,81,65.42,-52.9,40.37,5.32
Makakilo City,90,US,1569279088,94,21.35,-158.09,84.2,4.7
Saint-Ambroise,40,CA,1569279090,59,48.56,-71.32,60.8,6.93
Kargasok,100,RU,1569279091,56,59.06,80.87,49.55,16.49
Okakarara,0,NA,1569279092,17,-20.59,17.46,59.09,8.57
Astoria,90,US,1569279005,72,46.19,-123.83,64.99,10.29
Ankara,0,TR,1569279094,39,39.92,32.85,50.0,2.24
Balkanabat,0,TM,1569279095,31,39.51,54.36,70.07,6.22
Kintampo,79,GH,1569279097,87,8.05,-1.73,73.85,2.73
Berlevag,75,NO,1569279098,80,70.86,29.09,39.2,18.34
Beringovskiy,0,RU,1569279099,37,63.05,179.32,39.83,9.33
Valley City,1,US,1569279100,40,46.92,-98.0,75.2,9.17
Kulhudhuffushi,100,MV,1569279026,91,6.62,73.07,78.53,12.3
Bonnyville,75,CA,1569279102,44,54.27,-110.74,59.0,18.34
Lieksa,48,FI,1569279104,93,63.32,30.02,28.49,4.65
Rapid City,1,US,1569279105,41,44.08,-103.23,80.6,6.93
Shache,0,CN,1569279106,22,38.42,77.24,64.13,1.1
Bella Union,79,CO,1569279107,99,8.5,-73.35,68.81,3.33
San Carlos de Bariloche,75,AR,1569279108,36,-41.13,-71.31,60.8,17.22
Biak,57,ID,1569279110,63,-0.91,122.88,67.91,3.94
Iskateley,98,RU,1569279111,89,67.68,53.15,37.85,12.39
Manicore,50,BR,1569279112,61,-5.81,-61.3,81.41,4.0
Ryazan,0,RU,1569279113,73,54.63,39.74,36.0,6.33
Gobabis,0,NA,1569279114,15,-22.45,18.97,57.2,1.12
Westport,1,US,1569279116,74,41.14,-73.36,81.0,13.87
Fasa,0,IR,1569279117,32,28.94,53.65,69.8,4.7
Bima,52,ID,1569278971,71,-8.45,118.73,77.45,3.56
Aracati,8,BR,1569279119,78,-4.56,-37.77,78.17,9.08
Sault Sainte Marie,20,CA,1569279120,77,46.49,-84.36,62.6,9.17
Mandalgovi,0,MN,1569279121,31,45.76,106.27,58.01,5.48
Muros,75,ES,1569279123,93,42.77,-9.06,66.99,17.22
Faya,0,SA,1569279124,72,18.39,42.45,69.8,2.66
Hearst,24,CA,1569279125,81,49.69,-83.67,52.43,2.42
Kazachinskoye,4,RU,1569279126,97,57.69,93.28,40.01,4.88
Vallenar,0,CL,1569278837,71,-28.58,-70.76,50.99,0.72
Lakefield,75,CA,1569279128,72,44.42,-78.27,71.6,16.11
Koshurnikovo,22,RU,1569279130,94,54.3,93.39,42.17,2.21
Curillo,85,CO,1569279131,78,1.03,-75.92,77.81,2.64
Strezhevoy,90,RU,1569279132,93,60.73,77.6,41.0,11.18
Sibu,75,MY,1569279133,100,2.29,111.83,77.0,3.36
Binga,10,ZW,1569279135,32,-17.62,27.34,68.63,5.06
Zhezkazgan,0,KZ,1569279136,56,47.8,67.71,46.4,13.42
Imeni Poliny Osipenko,46,RU,1569279137,50,52.42,136.49,49.91,10.83
Isangel,20,VU,1569279138,50,-19.55,169.27,78.8,9.17
Aksu,0,KZ,1569279139,57,52.04,76.93,50.0,17.9
Noumea,0,NC,1569279140,53,-22.28,166.46,75.2,3.36
Mao,90,DO,1569278908,100,19.55,-71.08,86.0,4.7
Virginia Beach,1,US,1569279124,69,36.85,-75.98,84.99,5.82
Zambezi,0,ZM,1569279144,48,-13.55,23.12,67.37,3.83
Kutum,95,SD,1569279145,27,14.2,24.66,83.03,7.2
Bajah,0,YE,1569279146,50,13.81,44.63,65.57,3.4
Pavilosta,67,LV,1569279147,65,56.89,21.19,32.0,2.24
Katsuura,75,JP,1569279148,73,33.93,134.5,71.6,5.82
Ahipara,79,NZ,1569279150,100,-35.17,173.16,60.01,32.26
Hede,100,SE,1569279151,70,60.45,15.49,48.2,2.24
Vitoria,56,BR,1569279152,89,-8.36,-72.77,73.85,3.4
San Quintin,0,PH,1569279153,78,17.54,120.52,78.89,3.04
Dryden,1,CA,1569278894,45,49.79,-92.84,68.0,11.41
Sweetwater,75,US,1569279156,45,32.47,-100.41,93.2,12.55
Orlik,75,PL,1569279157,87,53.95,17.74,50.0,5.82
Mabaruma,85,GY,1569279158,97,8.2,-59.78,74.21,1.74
Sao Joao da Barra,82,BR,1569279159,81,-21.64,-41.05,61.79,6.24
Podgorodnyaya Pokrovka,0,RU,1569279160,87,51.83,54.99,33.8,8.95
Mastic Beach,75,US,1569279161,88,40.77,-72.85,78.8,6.93
Ambilobe,45,MG,1569279163,74,-13.19,49.05,70.79,4.32
Talnakh,40,RU,1569279019,87,69.49,88.39,37.4,20.13
Wysokie Mazowieckie,0,PL,1569279165,74,52.92,22.51,43.0,8.03
Honolulu,90,US,1569279123,94,21.3,-157.86,84.2,5.82
General Jose Eduvigis Diaz,0,PY,1569279167,53,-27.17,-58.42,73.4,4.7
San Juan del Sur,20,NI,1569279169,74,11.25,-85.87,84.2,4.7
Maceio,75,BR,1569279170,83,-9.67,-35.74,77.0,6.93
Durango,40,MX,1569279171,31,24.02,-104.67,78.01,2.24
Bloomfield,1,US,1569279172,64,40.75,-92.42,75.2,9.17
Nanganga,0,TZ,1569279173,96,-10.41,39.17,64.31,2.57
Jatiroto,99,ID,1569279174,81,-7.61,109.46,74.57,2.84
Miyako,75,JP,1569279176,77,33.63,130.94,72.0,9.17
Aberdeen,90,US,1569279177,100,46.98,-123.82,61.0,6.93
Kalmunai,98,LK,1569279178,91,7.42,81.82,76.19,2.55
Ekhabi,100,RU,1569279179,78,53.51,142.97,49.19,30.51
Zalaszentgrot,0,HU,1569279180,77,46.94,17.08,60.8,4.7
Port Hedland,94,AU,1569279181,59,-20.31,118.58,64.4,10.29
Ordynskoye,0,RU,1569278955,52,54.37,81.9,48.11,18.97
Kumluca,0,TR,1569279184,75,36.37,30.29,54.41,2.24
Victor Harbor,20,AU,1569279185,81,-35.55,138.62,54.0,5.82
Sambava,77,MG,1569279186,78,-14.27,50.17,69.53,3.4
Lucea,75,JM,1569279187,78,18.44,-78.17,82.4,3.36
Gamba,99,CN,1569279189,85,28.28,88.52,33.71,3.4
Sampit,72,ID,1569279190,87,-2.54,112.95,78.53,3.6
Nizhniy Kuranakh,73,RU,1569279191,90,58.84,125.49,33.89,5.75
Pacific Grove,1,US,1569279171,29,36.62,-121.92,87.8,11.41
Dajabon,100,DO,1569279193,89,19.55,-71.71,75.99,4.94
Roebourne,96,AU,1569279194,39,-20.77,117.15,69.53,19.46
Totness,1,US,1569279196,42,33.74,-80.8,91.4,5.82
Lavrentiya,0,RU,1569279197,48,65.58,-170.99,34.07,7.23
Fairlie,1,US,1569279198,46,33.31,-95.96,93.2,11.41
Togur,83,RU,1569279199,61,58.36,82.83,47.39,19.95
Ayan,0,IR,1569279200,32,38.23,44.7,45.77,5.28
Alekseyevka,75,RU,1569279201,86,53.25,50.49,37.4,4.47
Gambela,42,ET,1569279203,80,8.25,34.59,68.27,4.72
Tandil,0,AR,1569279204,81,-37.33,-59.14,52.07,8.32
Nome,75,US,1569279205,62,30.04,-94.42,88.0,9.17
Samarai,67,PG,1569279206,81,-10.62,150.67,76.91,7.85
Pascagoula,1,US,1569279207,69,30.37,-88.56,87.8,3.36
Touros,20,BR,1569279208,83,-5.2,-35.46,77.0,6.93
Puerto Suarez,2,BO,1569279210,40,-18.96,-57.8,86.09,5.39
Kamareddi,91,IN,1569279211,91,18.32,78.34,74.03,0.78
Hofn,92,IS,1569279212,92,64.25,-15.21,39.83,5.64
Georgiyevka,0,RU,1569279213,80,52.25,40.45,37.13,5.3
Rawson,33,AR,1569279214,42,-43.3,-65.11,62.87,12.28
Aqtobe,0,KZ,1569279063,82,50.28,57.21,37.4,4.47
Adet,40,ET,1569279217,91,11.26,37.49,56.57,3.42
Celestun,3,MX,1569279218,82,20.87,-90.4,82.85,21.68
Archidona,90,EC,1569279219,100,-0.91,-77.81,71.6,5.79
Thai Binh,0,VN,1569279220,78,20.45,106.33,73.4,5.82
Santa Maria,0,BR,1569279221,34,-16.02,-48.01,82.4,9.17
Bindki,98,IN,1569279223,91,26.04,80.58,75.11,4.43
Ayr,100,AU,1569279224,79,-19.58,147.4,72.0,1.99
Kampot,20,KH,1569279225,88,10.62,104.18,78.8,4.7
Jutai,82,BR,1569279226,96,-1.71,-47.89,74.21,4.41
Buchanan,75,LR,1569279227,94,5.88,-10.05,77.0,11.56
Harstad,81,NO,1569279047,68,68.8,16.53,43.0,3.36
Belyy Yar,0,RU,1569279230,81,53.6,91.39,48.2,2.24
Bonavista,100,CA,1569279231,85,48.65,-53.11,61.0,17.0
Cockburn Town,65,TC,1569279232,77,21.46,-71.14,85.01,1.28
Antalaha,66,MG,1569279225,90,-14.9,50.28,65.03,3.74
Te Anau,93,NZ,1569279234,82,-45.41,167.72,40.91,6.24
Meulaboh,31,ID,1569279235,80,4.14,96.13,80.87,5.73
Belmonte,62,PT,1569279018,93,40.36,-7.35,57.0,4.23
Parabel,97,RU,1569279238,64,58.71,81.5,47.21,24.56
Santa Isabel do Rio Negro,38,BR,1569279239,86,-0.41,-65.02,73.67,2.48
Luanda,84,AO,1569279012,85,-8.83,13.24,72.77,13.78
Santa Rosa,0,AR,1569279017,35,-36.62,-64.29,61.97,5.21
Port-Gentil,40,GA,1569279242,88,-0.72,8.78,78.8,11.41
Ararat,0,AM,1569279243,44,39.85,44.7,59.0,3.36
Kurlovo,39,RU,1569279245,95,55.45,40.61,32.99,6.6
Dan Khun Thot,84,TH,1569279246,81,15.21,101.77,70.61,17.45
Kharp,100,RU,1569279247,94,66.82,65.8,30.11,10.04
Wundanyi,0,KE,1569279248,85,-3.4,38.37,63.05,11.03
Preobrazheniye,0,RU,1569279249,57,42.9,133.91,59.45,8.32
San Policarpo,78,PH,1569279251,79,12.18,125.51,80.51,1.36
Veinticinco de Mayo,0,AR,1569279252,65,-27.38,-54.75,64.99,5.03
Ayagoz,0,KZ,1569279253,80,47.96,80.43,44.87,2.01
Hualmay,100,PE,1569279254,94,-11.1,-77.61,61.25,12.46
Muli,96,CN,1569279255,56,28.08,109.56,65.57,1.92
San Lucas,94,NI,1569279256,95,13.41,-86.61,73.85,4.5
Cap Malheureux,75,MU,1569279258,83,-19.98,57.61,70.0,19.46
Huambo,49,AO,1569279259,54,-12.78,15.73,60.71,2.19
Shubarshi,0,KZ,1569279260,71,48.59,57.19,40.37,6.49
Tilichiki,100,RU,1569278990,93,60.47,166.1,44.69,8.03
Acari,46,BR,1569278982,69,-6.44,-36.64,76.37,22.08
Emerald,88,AU,1569279263,18,-23.53,148.16,73.4,16.11
Tabou,100,CI,1569279264,95,4.42,-7.36,74.57,4.56
Chiredzi,69,ZW,1569279266,70,-21.05,31.67,71.51,13.58
Kuryk,0,KZ,1569279267,80,43.18,51.68,54.05,2.3
Tinqueux,0,FR,1569279268,72,49.25,3.99,60.01,6.93
Saint-Augustin,90,CA,1569279004,100,45.63,-73.98,72.0,3.36
Panama City,1,US,1569279270,51,30.16,-85.65,86.0,8.05
Manta,100,RO,1569279271,44,45.1,24.1,61.07,3.74
Halifax,75,CA,1569279236,83,44.65,-63.58,73.99,10.29
Inndyr,0,NO,1569279274,60,67.03,14.03,43.0,3.36
Jalu,0,LY,1569279275,57,29.03,21.55,70.07,9.19
Baghdad,0,IQ,1569279060,26,33.3,44.38,82.4,8.05
Riviere-au-Renard,40,CA,1569279277,62,49.0,-64.4,59.0,11.41
Khombole,20,SN,1569279278,88,14.76,-16.69,84.2,5.82
Shuangyang,0,CN,1569279279,72,25.0,118.61,71.69,4.41
Bud,0,NO,1569279281,93,62.91,6.91,51.8,8.05
Ilulissat,98,GL,1569279282,86,69.22,-51.1,37.4,3.36
Puerto Ayacucho,75,CO,1569279283,62,5.66,-67.63,86.0,4.7
Wucheng,0,CN,1569279284,68,29.09,119.57,68.63,2.01
Sabha,0,LY,1569279140,28,27.03,14.43,79.43,9.35
Lakatoro,95,VU,1569279287,67,-16.11,167.42,78.17,11.45
Ituverava,0,BR,1569279288,44,-20.34,-47.78,80.6,13.87
Formosa,10,BR,1569279289,50,-15.55,-47.33,74.21,7.07
Xiongyue,0,CN,1569279290,64,40.18,122.12,64.85,21.94
Dingle,0,PH,1569279291,83,11.0,122.67,80.87,6.53
Sistranda,0,NO,1569279293,81,63.73,8.83,52.0,10.29
Raton,20,US,1569279030,12,36.9,-104.44,84.2,17.22
Tumpat,75,MY,1569279295,94,6.2,102.17,78.8,3.36
Sibolga,55,ID,1569279296,82,1.74,98.78,80.51,8.72
Ukiah,1,US,1569279297,17,39.15,-123.21,93.0,4.61
Bumba,20,CD,1569279298,96,2.18,22.47,70.97,1.77
Kyaikkami,80,MM,1569279300,75,16.08,97.57,80.15,7.85
Prieska,2,ZA,1569279301,46,-29.67,22.74,47.03,11.99
Bada,40,NG,1569279302,94,7.45,3.75,73.4,6.93
Linjiang,0,CN,1569279303,67,41.81,126.91,57.11,1.3
